OTUID,V92S41260,SSLF1563,SLS31664,SFR2044,V57VSLS520,VSLS52145,SSL2246,SL529,Soil72,SOIL72,SOIL82,S4WOOD,SOIL4,SOIL4FRASS,SOILA,SOILVELVET,SWOODSPIDER,V88soil,SLSU856,SLS4957
87093bd3ad98fefd6bf634311d71966a,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
f75da0a8e78770c4272f91f2dd75d14e,0,0,0,0,0,0,0,0,0,0,12,515,0,0,0,0,35,0,0,0
51a90b301b383109fe73d2f3f11227c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35c1f13a5361d00d5ab88d5fde45f57c,0,0,0,0,0,0,0,0,323,72,193,13993,221,3,28,51,2516,81,0,0
0e2439898e0d3f4f86d6825306a4e177,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
4fe70fdc3f6084d4ebd58540a50a1fee,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4180ca7b8be0fa22545cf7856943b2b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
93054b65b42ff3a6261c830cc57654d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
81231f66abee5a19f37e6e3a8434cc3c,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0
fc3d58f07b1b433624e6f879d0b91100,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,11,0,0,0
be2530a9255e4d8a3d609f1119fceeb8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
447419f7e8fdc1ab6e0005598e87a8b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842613193e078e6d3b892f7fb5e06a01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193a588ee4c5b44fe44b5b91749868f4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cdca4346ddc358a4acb19e01bb32304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fc6480eb44e1545298817a9f25c8b9c0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,24,62,0,0,0
eee687054f41f00cb216b063337b2df9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f6f2498bf832203dfa10ebde205aaa80,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0
0090f297c01b14404bbac1b59218380c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c99712b85b6ea75c1aa846e334c17c2,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0
c99e9c70a08d4057392f6b2d830e8ce5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05ea5cb376d7d3d1475306ddfd18f02c,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
8b949e4908728a79a28525cb580a828e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
7226d036373f44c736f8a03df0d3c3a8,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
00f291d0342b1bb94d67d429c2eca4e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9e52f9d771e47b2a999ebb351c520319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166e0dd9fb503c2cf84248beb6f795c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84e4244175a29b8696e94e958a30159b,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0
e0345e8e786d164ca3cd450690f1d380,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,63,0,0,0,0
7a3cb62533e52ebeb4ba95b589a7faeb,0,0,0,0,0,0,0,0,25,0,68,306,0,0,0,0,0,0,0,0
a50ec8f4d895bbe458e9906f6c30bc7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
