Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
b998c53f33ebd37ecc7b6be5a16b6230,Bacteria,Acidobacteria,DA052,Ellin6513,,,
34195061e0136932dc5bc900564fe686,Bacteria,Acidobacteria,DA052,Ellin6513,,,
198efe8475e3d4d90ca2916c4be640c7,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
d3b942c2e4bdd12d4df5c6b53d8dce8d,Bacteria,OP3,koll11,GIF10,kpj58rc,,
d44127f0bdd6a25710869dc861b5ed5c,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
c9939b7a890302b69bb520c7a4f9faea,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
3a2b7ccaecf58f901f1fe393b57ff387,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
b3c418e0056dd158364c2cdb9a87783f,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
d67a5341580fb3407159543b47b7f4e4,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
f6597054b11e16a0f0663f9274767839,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
4cc922a411001d0cf9c9393c6690e60d,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
dcbdcf50bc7bec69ec026cecc0bee489,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
27249e5334d7322400e20227a22af17a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
014ce35fbc2950aa757482a7a8e3b65d,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
759f303fb1f6112738837793518a0ccf,Bacteria,Verrucomicrobia,[Methylacidiphilae],Methylacidiphilales,,,
b37fb3bc3b29dd95f6645ff190f525e1,Archaea,Crenarchaeota,MBGA,NRP-J,,,
